Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Is Peak Hour,Code Description
2025-01-01,02:10,Wednesday,BATHURST,MUSAN,5,9,E,Line 2 Bloor-Danforth,5227,False,Unsanitary Vehicle
2025-01-01,07:59,Wednesday,DONLANDS,TUNOA,5,10,W,Line 2 Bloor-Danforth,5000,True,No Operator Immediately Available 
2025-01-01,08:13,Wednesday,BLOOR,PUTR,9,0,S,Line 1 Yonge-University,5836,True,Rail Related Problem
2025-01-01,08:15,Wednesday,BLOOR,PUTR,5,0,N,Line 1 Yonge-University,5706,True,Rail Related Problem
2025-01-01,12:56,Wednesday,VAUGHAN MC,MUO,4,8,S,Line 1 Yonge-University,5706,False,Miscellaneous Other
2025-01-01,13:44,Wednesday,COLLEGE,MUPAA,3,7,N,Line 1 Yonge-University,5606,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-01,14:56,Wednesday,ST PATRICK,MUPAA,5,9,N,Line 1 Yonge-University,5601,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-01,15:14,Wednesday,ST GEORGE YUS,SUDP,4,8,S,Line 1 Yonge-University,6111,False,Disorderly Patron
2025-01-01,16:04,Wednesday,RUNNYMEDE,MUSAN,4,8,W,Line 2 Bloor-Danforth,5303,True,Unsanitary Vehicle
2025-01-01,16:21,Wednesday,KIPLING,MUSAN,4,8,W,Line 2 Bloor-Danforth,5303,True,Unsanitary Vehicle
2025-01-01,16:42,Wednesday,YORK MILLS,PUOPO,12,16,S,Line 1 Yonge-University,5686,True,OPTO (COMMS) Train Door Monitoring
2025-01-01,17:07,Wednesday,SHEPPARD WEST,MUTO,3,7,S,Line 1 Yonge-University,6031,True,Misc. Transportation Other - Employee Non-Chargeable
2025-01-01,17:37,Wednesday,DUNDAS,MUPAA,5,9,N,Line 1 Yonge-University,5821,True,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-01,17:49,Wednesday,CASTLE FRANK,PUSTC,4,8,E,Line 2 Bloor-Danforth,5240,True,Signals - Track Circuit Problems
2025-01-01,18:18,Wednesday,YONGE BD,MUIE,9,13,E,Line 2 Bloor-Danforth,5353,True,Injured Employee
2025-01-01,18:21,Wednesday,FINCH WEST,EUO,6,12,S,Line 1 Yonge-University,6041,True,RC&S Other
2025-01-01,19:09,Wednesday,WELLESLEY,SUEAS,7,12,N,Line 1 Yonge-University,5446,False,Emergency Alarm Station Activation
2025-01-01,19:13,Wednesday,DUNDAS WEST,TUMVS,3,8,W,Line 2 Bloor-Danforth,5023,False,Operator Violated Signal
2025-01-01,21:05,Wednesday,FINCH,TUNOA,6,12,S,Line 1 Yonge-University,5551,False,No Operator Immediately Available 
2025-01-01,01:16,Wednesday,EGLINTON,MUPAA,3,9,N,Line 1 Yonge-University,5606,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-02,05:49,Thursday,KENNEDY BD,TUNIP,5,10,W,Line 2 Bloor-Danforth,5209,False,Operator Not In Position
2025-01-02,05:54,Thursday,WILSON,EUBK,3,6,S,Line 1 Yonge-University,5521,False,Brakes
2025-01-02,08:10,Thursday,WILSON,MUCL,3,6,S,Line 1 Yonge-University,5416,True,Divisional Clerk Related
2025-01-02,09:25,Thursday,ST CLAIR WEST,TUATC,3,6,N,Line 1 Yonge-University,5836,False,ATC Operator Related
2025-01-02,10:08,Thursday,KIPLING,MUSC,4,8,E,Line 2 Bloor-Danforth,5047,False,Miscellaneous Speed Control
2025-01-02,10:46,Thursday,VAUGHAN MC,MUIR,4,9,S,Line 1 Yonge-University,5416,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,10:53,Thursday,YORK MILLS,MUIR,6,11,S,Line 1 Yonge-University,5616,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,11:50,Thursday,KIPLING,MUIR,3,7,E,Line 2 Bloor-Danforth,5303,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,13:16,Thursday,BAY,MUIR,19,23,E,Line 2 Bloor-Danforth,5125,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,13:41,Thursday,YORK MILLS,MUIR,7,12,S,Line 1 Yonge-University,6056,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,14:30,Thursday,YORK MILLS,SUDP,4,7,S,Line 1 Yonge-University,5581,False,Disorderly Patron
2025-01-02,15:25,Thursday,KIPLING,MUSAN,3,6,W,Line 2 Bloor-Danforth,5028,False,Unsanitary Vehicle
2025-01-02,15:41,Thursday,MAIN STREET,MUIR,9,12,E,Line 2 Bloor-Danforth,5126,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,16:14,Thursday,KENNEDY BD,EUBO,3,6,E,Line 2 Bloor-Danforth,5105,True,Body
2025-01-02,17:32,Thursday,ST ANDREW,PUOPO,16,15,N,Line 1 Yonge-University,5731,True,OPTO (COMMS) Train Door Monitoring
2025-01-02,17:41,Thursday,COLLEGE,SUDP,3,5,S,Line 1 Yonge-University,5581,True,Disorderly Patron
2025-01-02,17:58,Thursday,BROADVIEW,SUAP,23,26,W,Line 2 Bloor-Danforth,5312,True,Assault / Patron Involved
2025-01-02,18:01,Thursday,ST GEORGE YUS,MUIR,8,11,N,Line 1 Yonge-University,5581,True,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,19:15,Thursday,BLOOR,MUPAA,3,5,N,Line 1 Yonge-University,5641,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-02,19:44,Thursday,CASTLE FRANK,SUDP,26,30,W,Line 2 Bloor-Danforth,5086,False,Disorderly Patron
2025-01-02,19:56,Thursday,YORK MILLS,MUPAA,5,7,N,Line 1 Yonge-University,5391,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-02,19:56,Thursday,UNION STATION (TO KING,MUIR,4,8,N,Line 1 Yonge-University,5966,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-02,21:18,Thursday,KENNEDY BD,SUDP,5,10,W,Line 2 Bloor-Danforth,5219,False,Disorderly Patron
2025-01-02,22:53,Thursday,ST GEORGE YUS,MUPAA,4,10,S,Line 1 Yonge-University,5696,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-02,23:18,Thursday,QUEEN,SUEAS,7,13,S,Line 1 Yonge-University,5396,False,Emergency Alarm Station Activation
2025-01-02,23:20,Thursday,ST CLAIR WEST,SUDP,7,13,N,Line 1 Yonge-University,5871,False,Disorderly Patron
2025-01-02,23:30,Thursday,ST CLAIR,MUPAA,4,10,S,Line 1 Yonge-University,5711,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-03,05:53,Friday,EGLINTON,TUNIP,5,10,N,Line 1 Yonge-University,5781,False,Operator Not In Position
2025-01-03,05:53,Friday,BLOOR,PUTO,7,0,S,Line 1 Yonge-University,5711,False,T&S Other
2025-01-03,07:46,Friday,DAVISVILLE,SUDP,5,8,S,Line 1 Yonge-University,5901,True,Disorderly Patron
